"title","locality","price","url","image"
"For sale apartment 1+kt 27 m²","Ostrov, district Karlovy Vary","1 699 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/ostrov--/1400886348","https://d18-a.sdn.cz/d_18/c_img_QL_J6/P8BPDI.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+kt 26 m²","Charkovská, Karlovy Vary","1 240 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/karlovy-vary-karlovy-vary-charkovska/1569674316","https://d18-a.sdn.cz/d_18/c_img_QR_MD/CVTRiB.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 49 m²","Karlovy Vary","2 255 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/karlovy-vary-karlovy-vary-/3098080844","https://d18-a.sdn.cz/d_18/c_img_QR_MB/gUZzhy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 78 m²","Na Vyhlídce, Karlovy Vary","3 190 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/karlovy-vary-karlovy-vary-na-vyhlidce/4237473100","https://d18-a.sdn.cz/d_18/c_img_QM_Kd/1ne15G.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 57 m²","Železničářská, Plzeň - Doubravka","3 250 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/plzen-doubravka-zeleznicarska/1384813900","https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/xdGCA5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 40 m²","Malá Úpa - Horní Malá Úpa, district Trutnov","7 600 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/mala-upa-horni-mala-upa-/4092142668","https://d18-a.sdn.cz/d_18/c_img_QL_Jy/XeGBrY6.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 66 m²","Loučná pod Klínovcem, district Chomutov","9 900 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/loucna-pod-klinovcem--/1365768540","https://d18-a.sdn.cz/d_18/c_img_QI_Jb/9DG7iU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 102 m² (Mezonet)","Loučná pod Klínovcem, district Chomutov","14 875 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/loucna-pod-klinovcem--/1416738124","https://d18-a.sdn.cz/d_18/c_img_QO_K2/pEuBeJa.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 6 rooms plus 152 m²","Písek - Semice, district Písek","6 300 000 CZK","https://sreality.cz/en/detail/sale/flat/6-and-more/pisek-semice-/652829772","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/yPbCiA.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 59 m²","Urbinská, Český Krumlov - Domoradice","5 999 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/cesky-krumlov-domoradice-urbinska/3885143372","https://d18-a.sdn.cz/d_18/c_img_QL_J7/q5fEaU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 54 m²","Bratří Čapků, Uničov","2 400 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/unicov-unicov-bratri-capku/2761069900","https://d18-a.sdn.cz/d_18/c_img_QL_J7/265EZz.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 50 m²","Ervěnická, Jirkov","1 980 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/jirkov-jirkov-ervenicka/917149004","https://d18-a.sdn.cz/d_18/c_img_QK_Jq/w1ZCVh.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 50 m²","K. H. Máchy, Jirkov","1 980 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/jirkov-jirkov-k--h--machy/4188706124","https://d18-a.sdn.cz/d_18/c_img_QL_J7/QhqCrS.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 52 m²","Ervěnická, Jirkov","1 089 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/jirkov-jirkov-ervenicka/1128183116","https://d18-a.sdn.cz/d_18/c_img_QN_J9/eF6BrqT.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 84 m²","Habrová, Holubice - Kozinec","6 970 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/holubice-kozinec-habrova/2401281356","https://d18-a.sdn.cz/d_18/c_img_QK_Jp/7ALvZK.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
